source_path,sha256,canonical_source,object_name,python_type,status,rows,columns,parquet_path,csv_gz_path,note
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/dental.rda,7e3a5cf7a3f9700b0eb80d0040409117f5fe698a282bd39c0de141b13376a2d2,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/dental.rda,dental,ndarray,converted,10,1,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/dental__dental.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/dental__dental.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/gdental.rda,5967a5a66e6c29867146b5aad954ca8e32431c1163fa534a49a5ed9a8cee1a6f,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/gdental.rda,gdental,DataFrame,converted,10,2,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/gdental__gdental.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/gdental__gdental.csv.gz,reader=pyreadr fallback after NotImplementedError
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/hachemeister.rda,e438665b77f6739853b6a9aab5b7f887de2c29979d4d5a7fc82e448554cdef5c,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/hachemeister.rda,hachemeister,DataArray,converted,125,3,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/hachemeister__hachemeister.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/hachemeister__hachemeister.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/ABC.RData,1fba5818695b15b6066c2d0181beeee290018d524f636d0519b9397b5cf1cfa1,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/ABC.RData,ABC,DataArray,converted,121,3,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/ABC__ABC.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/ABC__ABC.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/auto.RData,6e4e6a801ee3c740cb89de3be6004efca824dc769e1ecf9c6703e6ae0a3c52bb,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/auto.RData,auto,dict,converted,1,3,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/auto__auto.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/auto__auto.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/AutoBI.RData,eb56654b59c412412947025e3101170fccf0eea24948ff49db465d813bb6e0b2,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/AutoBI.RData,AutoBI,dict,converted,1,3,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/AutoBI__AutoBI.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/AutoBI__AutoBI.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenIns.RData,c102bfd8e12b8ee4861d55fe93521bb99936b19ebebcdaac8b1d17d7c410252f,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenIns.RData,GenIns,DataArray,converted,100,3,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenIns__GenIns.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenIns__GenIns.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenInsLong.RData,1b7b2760d97e4845855ba2ee4b9cb685681adfba3fc73505660ae1d4149783bc,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenInsLong.RData,GenInsLong,DataFrame,converted,55,3,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenInsLong__GenInsLong.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenInsLong__GenInsLong.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/liab.RData,2f9f36b2c5551d5b469dd825ee87ef75ea15ee34799854ec123c88358559af39,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/liab.RData,liab,dict,converted,1,2,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/liab__liab.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/liab__liab.csv.gz,reader=rdata
data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/M3IR5.RData,0a8d418d69af00314e80e9e59b107e5441567fbb73609ee616b3cef36f765c32,data/raw/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/M3IR5.RData,M3IR5,DataArray,converted,196,3,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/M3IR5__M3IR5.parquet,data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/M3IR5__M3IR5.csv.gz,reader=rdata
